obs_size=27 action_size=4
update=0055 avg_reward=+0.2624 avg_value=+26.4588 policy_loss=2.5946 value_loss=0.7964 entropy=100.7542
update=0056 avg_reward=+0.2618 avg_value=+26.4564 policy_loss=0.6387 value_loss=0.6543 entropy=101.0082
update=0057 avg_reward=+0.2629 avg_value=+26.4562 policy_loss=1.8349 value_loss=0.3043 entropy=101.2430
update=0058 avg_reward=+0.2630 avg_value=+26.4368 policy_loss=0.8883 value_loss=0.4107 entropy=101.4657
update=0059 avg_reward=+0.2642 avg_value=+26.4262 policy_loss=1.7698 value_loss=0.6895 entropy=101.7076
update=0060 avg_reward=+0.2648 avg_value=+26.4403 policy_loss=1.8290 value_loss=0.3093 entropy=101.9127
update=0061 avg_reward=+0.2653 avg_value=+26.4573 policy_loss=1.8048 value_loss=0.2492 entropy=102.1155
update=0062 avg_reward=+0.2655 avg_value=+26.4597 policy_loss=0.6952 value_loss=0.4086 entropy=102.2801
update=0063 avg_reward=+0.2656 avg_value=+26.4770 policy_loss=2.2033 value_loss=0.4142 entropy=102.4772
update=0064 avg_reward=+0.2614 avg_value=+26.4928 policy_loss=0.6609 value_loss=0.5713 entropy=102.7587
update=0065 avg_reward=+0.2612 avg_value=+26.4736 policy_loss=1.8154 value_loss=0.6527 entropy=102.9528
update=0066 avg_reward=+0.2618 avg_value=+26.4395 policy_loss=1.1521 value_loss=0.3803 entropy=103.1517
update=0067 avg_reward=+0.2624 avg_value=+26.4125 policy_loss=1.0256 value_loss=0.4507 entropy=103.2720
update=0068 avg_reward=+0.2630 avg_value=+26.3954 policy_loss=0.5624 value_loss=0.5716 entropy=103.2825
update=0069 avg_reward=+0.2623 avg_value=+26.3961 policy_loss=0.2241 value_loss=0.3792 entropy=103.2340
update=0070 avg_reward=+0.2631 avg_value=+26.3735 policy_loss=0.2154 value_loss=0.5152 entropy=103.2380
update=0071 avg_reward=+0.2629 avg_value=+26.3929 policy_loss=0.3432 value_loss=0.5228 entropy=103.3797
update=0072 avg_reward=+0.2644 avg_value=+26.3888 policy_loss=1.1664 value_loss=0.3374 entropy=103.5376
update=0073 avg_reward=+0.2640 avg_value=+26.3877 policy_loss=0.8712 value_loss=0.5419 entropy=103.5778
update=0074 avg_reward=+0.2638 avg_value=+26.4129 policy_loss=0.1558 value_loss=0.3354 entropy=103.7911
update=0075 avg_reward=+0.2634 avg_value=+26.4026 policy_loss=0.6968 value_loss=0.5995 entropy=104.1007
update=0076 avg_reward=+0.2648 avg_value=+26.3766 policy_loss=1.3689 value_loss=0.9096 entropy=104.3912
update=0077 avg_reward=+0.2634 avg_value=+26.4016 policy_loss=0.6601 value_loss=0.5510 entropy=104.6040
update=0078 avg_reward=+0.2631 avg_value=+26.4311 policy_loss=1.6141 value_loss=0.4828 entropy=104.7457
update=0079 avg_reward=+0.2634 avg_value=+26.4127 policy_loss=1.1988 value_loss=0.5196 entropy=104.9395
update=0080 avg_reward=+0.2631 avg_value=+26.4126 policy_loss=0.2073 value_loss=0.8052 entropy=105.1806
update=0081 avg_reward=+0.2638 avg_value=+26.4334 policy_loss=0.5161 value_loss=0.2484 entropy=105.4035
update=0082 avg_reward=+0.2624 avg_value=+26.3946 policy_loss=1.7125 value_loss=0.7237 entropy=105.4559
update=0083 avg_reward=+0.2622 avg_value=+26.4207 policy_loss=1.8162 value_loss=0.3603 entropy=105.5002
update=0084 avg_reward=+0.2615 avg_value=+26.3815 policy_loss=0.3124 value_loss=0.6649 entropy=105.6745
update=0085 avg_reward=+0.2614 avg_value=+26.3839 policy_loss=0.8528 value_loss=0.6634 entropy=105.6684
update=0086 avg_reward=+0.2615 avg_value=+26.3591 policy_loss=0.6756 value_loss=0.6207 entropy=105.7906
update=0087 avg_reward=+0.2633 avg_value=+26.3290 policy_loss=0.3233 value_loss=0.8601 entropy=105.8301
update=0088 avg_reward=+0.2633 avg_value=+26.3649 policy_loss=0.5728 value_loss=0.4325 entropy=105.9799
update=0089 avg_reward=+0.2633 avg_value=+26.3668 policy_loss=1.7184 value_loss=0.4616 entropy=106.0791
update=0090 avg_reward=+0.2629 avg_value=+26.3850 policy_loss=0.6941 value_loss=0.3174 entropy=106.1366
update=0091 avg_reward=+0.2631 avg_value=+26.3663 policy_loss=0.4832 value_loss=0.4279 entropy=106.3652
update=0092 avg_reward=+0.2639 avg_value=+26.3673 policy_loss=0.9540 value_loss=0.4396 entropy=106.5330
update=0093 avg_reward=+0.2628 avg_value=+26.3894 policy_loss=0.6908 value_loss=0.2861 entropy=106.7997
update=0094 avg_reward=+0.2643 avg_value=+26.3927 policy_loss=0.7146 value_loss=0.2735 entropy=106.9692
update=0095 avg_reward=+0.2630 avg_value=+26.4056 policy_loss=0.9725 value_loss=0.2324 entropy=107.1896
update=0096 avg_reward=+0.2629 avg_value=+26.3993 policy_loss=2.0103 value_loss=0.4055 entropy=107.5032
